date,session,period,price
2024-06-08,MD,24,90.0
2024-06-09,I1,1,70.68
2024-06-09,I2,1,55.13
2024-06-09,I3,1,60.13
2024-06-09,MD,1,35.13
2024-06-09,I1,2,22.41
2024-06-09,I2,2,32.41
2024-06-09,I3,2,22.41
2024-06-09,MD,2,22.41
2024-06-09,I1,3,27.76
2024-06-09,I2,3,41.41
2024-06-09,I3,3,27.0
2024-06-09,MD,3,12.76
2024-06-09,I1,4,14.41
2024-06-09,I2,4,39.92
2024-06-09,I3,4,38.46
2024-06-09,MD,4,8.46
2024-06-09,I1,5,10.94
2024-06-09,I2,5,42.92
2024-06-09,I3,5,28.94
2024-06-09,MD,5,8.94
2024-06-09,I1,6,20.99
2024-06-09,I2,6,30.0
2024-06-09,I3,6,29.89
2024-06-09,MD,6,22.99
2024-06-09,I1,7,10.0
2024-06-09,I2,7,31.65
2024-06-09,I3,7,39.92
2024-06-09,MD,7,10.0
2024-06-09,I1,8,5.0
2024-06-09,I2,8,12.0
2024-06-09,I3,8,12.0
2024-06-09,MD,8,5.0
2024-06-09,I1,9,0.25
2024-06-09,I2,9,3.25
2024-06-09,I3,9,3.0
2024-06-09,MD,9,3.25
2024-06-09,I1,10,-2.0
2024-06-09,I2,10,0.44
2024-06-09,I3,10,1.0
2024-06-09,MD,10,0.0
2024-06-09,I1,11,-4.98
2024-06-09,I2,11,-0.6
2024-06-09,I3,11,0.0
2024-06-09,MD,11,0.0
2024-06-09,I1,12,-5.0
2024-06-09,I2,12,-3.66
2024-06-09,I3,12,-0.07
2024-06-09,MD,12,0.0
2024-06-09,I1,13,-5.0
2024-06-09,I2,13,-6.99
2024-06-09,I3,13,-2.0
2024-06-09,MD,13,0.0
2024-06-09,I1,14,-5.0
2024-06-09,I2,14,-7.44
2024-06-09,I3,14,-2.0
2024-06-09,MD,14,0.0
2024-06-09,I1,15,-5.12
2024-06-09,I2,15,-6.99
2024-06-09,I3,15,-1.98
2024-06-09,MD,15,0.0
2024-06-09,I1,16,-5.01
2024-06-09,I2,16,-4.91
2024-06-09,I3,16,-1.74
